Name,Time,Latitude,Longitude,Symbol,Category,Pressure,MeanWind,WindGust
TC ODETTE,2021-04-09T00:00:00Z,-14.2,107.7,4.0,1.0,990.0,45.0,65.0
TC ODETTE,2021-04-09T06:00:00Z,-14.7,109.2,4.0,1.0,988.0,45.0,65.0
TC ODETTE,2021-04-09T12:00:00Z,-15.7,110.7,4.0,1.0,989.0,45.0,65.0
TC ODETTE,2021-04-09T18:00:00Z,-17.1,111.9,4.0,1.0,989.0,45.0,65.0
TC ODETTE,2021-04-10T00:00:00Z,-18.7,112.4,4.0,1.0,991.0,40.0,55.0
TC ODETTE,2021-04-10T12:00:00Z,-22.3,110.0,4.0,1.0,990.0,40.0,55.0
TC ODETTE,2021-04-11T00:00:00Z,-25.1,109.9,4.0,0.0,991.0,35.0,45.0
