BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
112.8468	-7.0869	8	JAWA	JAWA TIMUR	KAB. BANGKALAN	TRAGAH	NOAA20	2020-08-01	06:02:57.000000		
111.8398	-7.3120	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	BUBULAN	NOAA20	2020-08-01	06:02:57.000000		
111.8393	-7.3087	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	BUBULAN	NOAA20	2020-08-01	06:02:57.000000		
111.8184	-7.3118	7	JAWA	JAWA TIMUR	KAB. BOJONEGORO	BUBULAN	NOAA20	2020-08-01	06:02:57.000000		
111.8166	-7.3902	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	GONDANG	NOAA20	2020-08-01	06:02:57.000000		
111.6923	-7.1834	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	NGASEM	SNPP	2020-08-01	06:52:46.000000		
111.9575	-7.4264	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	TEMAYANG	NOAA20	2020-08-01	06:02:57.000000		
111.9471	-7.4042	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	TEMAYANG	NOAA20	2020-08-01	06:02:57.000000		
111.9012	-7.3841	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	TEMAYANG	NOAA20	2020-08-01	06:02:57.000000		
111.8732	-7.3442	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	TEMAYANG	NOAA20	2020-08-01	06:02:57.000000		
113.9713	-7.7771	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	PRAJEKAN	SNPP	2020-08-01	05:11:46.000000		
114.0565	-8.1148	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	TERRA	2020-08-01	02:40:00		
114.0571	-8.1203	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	SNPP	2020-08-01	05:11:46.000000		
114.0570	-8.1144	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	SNPP	2020-08-01	05:11:46.000000		
114.0602	-8.1198	7	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TLOGOSARI	NOAA20	2020-08-01	06:02:57.000000		
112.4987	-7.2522	8	JAWA	JAWA TIMUR	KAB. GRESIK	BENJENG	NOAA20	2020-08-01	06:02:57.000000		
111.9214	-7.7813	8	JAWA	JAWA TIMUR	KAB. KEDIRI	BANYAKAN	NOAA20	2020-08-01	06:02:57.000000		
112.4258	-6.8863	8	JAWA	JAWA TIMUR	KAB. LAMONGAN	PACIRAN	NOAA20	2020-08-01	06:02:57.000000		
112.3149	-6.8965	7	JAWA	JAWA TIMUR	KAB. LAMONGAN	PACIRAN	NOAA20	2020-08-01	06:02:57.000000		
112.9269	-8.1121	8	JAWA	JAWA TIMUR	KAB. LUMAJANG	PRONOJIWO	NOAA20	2020-08-01	06:02:57.000000		
111.7766	-7.6100	8	JAWA	JAWA TIMUR	KAB. MADIUN	GEMARANG	NOAA20	2020-08-01	06:02:57.000000		
111.3700	-7.6004	8	JAWA	JAWA TIMUR	KAB. MAGETAN	KARAS	NOAA20	2020-08-01	06:02:57.000000		
111.3665	-7.6009	7	JAWA	JAWA TIMUR	KAB. MAGETAN	KARAS	NOAA20	2020-08-01	06:02:57.000000		
111.8274	-7.6131	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BAGOR	SNPP	2020-08-01	05:13:11.000000		
111.8308	-7.6153	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BAGOR	NOAA20	2020-08-01	06:02:57.000000		
111.8219	-7.6312	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	SNPP	2020-08-01	05:13:11.000000		
111.8318	-7.6461	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	SNPP	2020-08-01	05:13:11.000000		
111.8236	-7.6270	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	SNPP	2020-08-01	05:13:11.000000		
111.8359	-7.6485	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	NOAA20	2020-08-01	06:02:57.000000		
111.8324	-7.6490	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	NOAA20	2020-08-01	06:02:57.000000		
111.8354	-7.6452	7	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	NOAA20	2020-08-01	06:02:57.000000		
111.8319	-7.6457	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	NOAA20	2020-08-01	06:02:57.000000		
111.8224	-7.6302	8	JAWA	JAWA TIMUR	KAB. NGANJUK	BERBEK	NOAA20	2020-08-01	06:02:57.000000		
111.9753	-7.4915	8	JAWA	JAWA TIMUR	KAB. NGANJUK	GONDANG	NOAA20	2020-08-01	06:02:57.000000		
111.3550	-7.5485	8	JAWA	JAWA TIMUR	KAB. NGAWI	GERIH	NOAA20	2020-08-01	06:02:57.000000		
111.3451	-7.5533	8	JAWA	JAWA TIMUR	KAB. NGAWI	KENDAL	NOAA20	2020-08-01	06:02:57.000000		
111.2509	-7.3606	7	JAWA	JAWA TIMUR	KAB. NGAWI	WIDODAREN	NOAA20	2020-08-01	06:02:57.000000		
111.2804	-7.3256	8	JAWA	JAWA TIMUR	KAB. NGAWI	WIDODAREN	NOAA20	2020-08-01	06:02:57.000000		
112.8450	-7.6664	8	JAWA	JAWA TIMUR	KAB. PASURUAN	KRATON	TERRA	2020-08-01	02:40:00		
114.2362	-7.8451	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	ASEMBAGUS	NOAA20	2020-08-01	06:02:57.000000		
114.2646	-7.8347	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	BANYUPUTIH	SNPP	2020-08-01	05:11:46.000000		
114.2624	-7.8325	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	BANYUPUTIH	SNPP	2020-08-01	05:11:46.000000		
114.2637	-7.8372	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	BANYUPUTIH	NOAA20	2020-08-01	06:02:57.000000		
114.2597	-7.8378	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	BANYUPUTIH	NOAA20	2020-08-01	06:02:57.000000		
114.2592	-7.8343	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	BANYUPUTIH	NOAA20	2020-08-01	06:02:57.000000		
113.9014	-7.7156	8	JAWA	JAWA TIMUR	KAB. SITUBONDO	KENDIT	AQUA	2020-08-01	05:34:00		
115.7930	-7.1716	7	JAWA	JAWA TIMUR	KAB. SUMENEP	SAPEKEN	AQUA	2020-08-01	05:34:00		
115.7944	-7.1607	8	JAWA	JAWA TIMUR	KAB. SUMENEP	SAPEKEN	SNPP	2020-08-01	05:13:11.000000		
115.6409	-6.9786	8	JAWA	JAWA TIMUR	KAB. SUMENEP	SAPEKEN	SNPP	2020-08-01	05:13:11.000000		
115.7972	-7.1645	8	JAWA	JAWA TIMUR	KAB. SUMENEP	SAPEKEN	NOAA20	2020-08-01	06:02:57.000000		
111.9718	-6.8167	7	JAWA	JAWA TIMUR	KAB. TUBAN	JENU	NOAA20	2020-08-01	06:02:57.000000		
111.8222	-7.0026	8	JAWA	JAWA TIMUR	KAB. TUBAN	MONTONG	NOAA20	2020-08-01	06:02:57.000000		
112.1031	-6.9938	8	JAWA	JAWA TIMUR	KAB. TUBAN	PLUMPANG	NOAA20	2020-08-01	06:02:57.000000		
